,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,TOTAL,De 0 a 29 días,De 1 mes a 2 meses 29 días,De 3 meses a 5 meses 29 días,De 6 meses a 11 meses 29 días,De 1 a 2 años,Gestantes,Pueblos Originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
7390,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109316,04040421,13,13301,32,1,10,15,6,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7391,Consulta de Lactancia por profesional  - Matrona/ón,9,109316,04040424,13,13301,5,5,0,0,0,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7392,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109316,09600287,13,13301,5,0,3,2,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7393,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,109316,04040420,13,13301,10,4,5,1,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7394,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109316,04040421,13,13301,14,0,6,5,3,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7395,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109316,09600287,13,13301,4,0,4,0,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7396,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,9,109316,09600289,13,13301,2,0,1,1,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7397,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,109316,04040420,13,13301,8,3,1,2,2,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7398,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109316,04040421,13,13301,23,3,13,6,1,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7399,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109316,09600287,13,13301,6,1,0,2,3,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7400,Consulta de Lactancia por profesional  - Matrona/ón,9,109316,04040424,13,13301,1,1,0,0,0,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7401,Consulta de Lactancia por profesional  - Enfermera/o,9,109316,04040425,13,13301,36,6,14,10,6,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7402,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,9,109316,09600289,13,13301,3,0,1,0,2,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7403,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109419,09600287,13,13301,1,,1,,,,,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Santa Marta de Liray,Colina
7404,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,9,109419,09600289,13,13301,1,,,1,,,,0,0,Servicio de Salud Metropolitano Norte,Posta de Salud Rural Santa Marta de Liray,Colina
