,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
874,RN egresados con LME durante hospitalización y al alta,13,113190,24300103,13,13401,84,0,0,0,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
875,RN egresados con lactancia mixta al alta,13,113190,24311026,13,13401,2,,0,0,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
876,RN egresados con LME durante hospitalización y al alta,13,113190,24300103,13,13401,94,0,0,9,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
877,RN egresados con lactancia mixta al alta,13,113190,24311026,13,13401,7,0,0,0,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
878,Total de recién nacidos/as egresados/as,13,113190,24200134,13,13401,101,7,0,10,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
879,Total de recién nacidos/as egresados/as,13,113190,24200134,13,13401,93,4,0,5,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
880,RN egresados con LME durante hospitalización y al alta,13,113190,24300103,13,13401,93,0,0,5,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
881,Total de recién nacidos/as egresados/as,13,113190,24200134,13,13401,91,12,15,3,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
882,RN egresados con LME durante hospitalización y al alta,13,113190,24300103,13,13401,67,0,9,1,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
883,RN egresados con lactancia mixta al alta,13,113190,24311026,13,13401,8,0,2,1,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
884,Total de recién nacidos/as egresados/as,13,113190,24200134,13,13401,100,5,0,4,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
885,RN egresados con LME durante hospitalización y al alta,13,113190,24300103,13,13401,89,0,0,3,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
886,RN egresados con lactancia mixta al alta,13,113190,24311026,13,13401,6,0,0,1,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
